projectDescriptionID,trapVisitID,siteName,subSiteName,visitTime,visitTime2,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
10,81,Tisdale Weir RST,RR,2015-01-22T15:15:21Z,2015-01-22T15:15:21Z,Continue trapping,No fish were caught,Trap functioning normally,1298,3,3.09999990463257,Yes,NA,2.25,50,17.8500003814697
10,82,Tisdale Weir RST,RR,2015-01-23T07:45:21Z,2015-01-23T07:45:21Z,Continue trapping,Processed fish,Trap functioning normally,2965,2.79999995231628,2.79999995231628,Yes,NA,2.65000009536743,50,17.25
10,83,Tisdale Weir RST,RR,2015-01-23T15:30:21Z,2015-01-23T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1345,2.70000004768372,2.79999995231628,Yes,NA,2.09999990463257,51.7999992370605,16.2999992370605
10,84,Tisdale Weir RST,RR,2015-01-24T07:30:21Z,2015-01-24T07:30:21Z,Continue trapping,Processed fish,Trap functioning normally,2834,2.59999990463257,3,Yes,NA,1.95000004768372,50,14.5500001907349
10,85,Tisdale Weir RST,RR,2015-01-24T15:30:21Z,2015-01-24T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1111,2.79999995231628,2.79999995231628,Yes,NA,1.89999997615814,53.5999984741211,15.8000001907349
10,86,Tisdale Weir RST,RR,2015-01-25T09:00:21Z,2015-01-25T09:00:21Z,Continue trapping,Processed fish,Trap functioning normally,2863,2.79999995231628,2.90000009536743,Yes,NA,2,48,14.1499996185303
10,87,Tisdale Weir RST,RR,2015-01-25T15:15:21Z,2015-01-25T15:15:21Z,Continue trapping,No fish were caught,Trap functioning normally,914,2.59999990463257,2.5,Yes,NA,2.15000009536743,50,15.9499998092651
10,88,Tisdale Weir RST,RR,2015-01-26T07:30:21Z,2015-01-26T07:30:21Z,Continue trapping,Processed fish,Trap functioning normally,2295,2.5,2.5,Yes,NA,1.89999997615814,51.7999992370605,16.2999992370605
10,89,Tisdale Weir RST,RL,2014-12-23T15:45:34Z,2014-12-23T15:45:34Z,Continue trapping,Processed fish,Trap functioning normally,1007,2.84999990463257,1.79999995231628,Yes,NA,1.79999995231628,53.5999984741211,90.3000030517578
10,90,Tisdale Weir RST,RL,2014-12-23T08:00:34Z,2014-12-23T08:00:34Z,Continue trapping,Processed fish,Trap functioning normally,2832,3.79999995231628,2.5,Yes,NA,2.09999990463257,51,128.5
10,91,Tisdale Weir RST,RL,2014-12-22T15:30:34Z,2014-12-22T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,538,3.90000009536743,3.90000009536743,Yes,NA,2.5,51,101.800003051758
10,92,Tisdale Weir RST,RL,2014-12-22T08:00:34Z,2014-12-22T08:00:34Z,Continue trapping,Processed fish,Trap functioning normally,2308,3.20000004768372,3.79999995231628,Yes,NA,2.45000004768372,50,102.699996948242
10,93,Tisdale Weir RST,RL,2014-12-05T16:00:34Z,2014-12-05T16:00:34Z,End trapping,Processed fish,Trap functioning normally,1298,3.20000004768372,NA,Yes,NA,2.84999990463257,52,42.75
10,94,Tisdale Weir RST,RL,2014-12-06T15:00:34Z,2014-12-06T15:00:34Z,End trapping,Processed fish,Trap functioning normally,690,2.40000009536743,NA,Yes,NA,1.79999995231628,55.4000015258789,329.5
10,95,Tisdale Weir RST,RL,2014-12-07T15:00:34Z,2014-12-07T15:00:34Z,End trapping,Processed fish,Trap functioning normally,1052,3,NA,Yes,NA,2.15000009536743,55.4000015258789,72
10,96,Tisdale Weir RST,RL,2014-12-08T15:30:34Z,2014-12-08T15:30:34Z,End trapping,Processed fish,Trap functioning normally,785,2.90000009536743,NA,Yes,NA,2.04999995231628,53,275.5
10,97,Tisdale Weir RST,RL,2014-12-09T16:00:34Z,2014-12-09T16:00:34Z,End trapping,Processed fish,Trap functioning normally,961,1.60000002384186,NA,Yes,NA,1.29999995231628,55.4000015258789,73.9499969482422
10,98,Tisdale Weir RST,RL,2014-12-10T16:00:34Z,2014-12-10T16:00:34Z,End trapping,No fish were caught,Trap functioning normally,507,1.5,1.5,Yes,NA,1.29999995231628,53,43.4500007629395
10,99,Tisdale Weir RST,RL,2014-12-14T15:45:34Z,2014-12-14T15:45:34Z,End trapping,Processed fish,Trap functioning normally,799,3.70000004768372,NA,Yes,NA,2.54999995231628,53.5999984741211,235
10,100,Tisdale Weir RST,RL,2014-12-15T15:30:34Z,2014-12-15T15:30:34Z,End trapping,Processed fish,Trap functioning normally,1203,2.90000009536743,NA,Yes,NA,2.59999990463257,49,135
10,101,Tisdale Weir RST,RL,2014-12-16T16:00:34Z,2014-12-16T16:00:34Z,End trapping,Processed fish,Trap functioning normally,705,1.60000002384186,NA,Yes,NA,1.89999997615814,51.7999992370605,84
10,102,Tisdale Weir RST,RL,2014-12-17T15:30:34Z,2014-12-17T15:30:34Z,End trapping,Processed fish,Trap functioning normally,1227,3.90000009536743,NA,Yes,NA,2.84999990463257,48,198.5
10,103,Tisdale Weir RST,RL,2014-12-18T15:30:34Z,2014-12-18T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1132,3.5,NA,Yes,NA,2.29999995231628,48,292.5
10,104,Tisdale Weir RST,RL,2014-12-19T07:45:34Z,2014-12-19T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,2744,3.40000009536743,3.29999995231628,Yes,NA,1.70000004768372,49,NA
10,105,Tisdale Weir RST,RL,2014-12-19T16:00:34Z,2014-12-19T16:00:34Z,Continue trapping,No fish were caught,Trap functioning normally,1012,2.90000009536743,2.5,Yes,NA,1.39999997615814,49,108.150001525879
10,106,Tisdale Weir RST,RL,2014-12-20T07:30:34Z,2014-12-20T07:30:34Z,Continue trapping,Processed fish,Trap functioning normally,1663,2.20000004768372,2.20000004768372,Yes,NA,1.35000002384186,51.7999992370605,73.5
10,107,Tisdale Weir RST,RL,2014-12-20T15:30:34Z,2014-12-20T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,923,2.40000009536743,2.70000004768372,Yes,NA,1.45000004768372,53.5999984741211,81.8000030517578
10,108,Tisdale Weir RST,RL,2014-12-21T07:45:34Z,2014-12-21T07:45:34Z,Continue trapping,Processed fish,Trap functioning normally,2345,3,2.5,Yes,NA,1.79999995231628,53.5999984741211,239
10,109,Tisdale Weir RST,RL,2014-12-21T15:30:34Z,2014-12-21T15:30:34Z,Continue trapping,Processed fish,Trap functioning normally,931,2.79999995231628,3.40000009536743,Yes,NA,2,51.7999992370605,282
10,110,Tisdale Weir RST,RR,2014-12-01T07:30:21Z,2014-12-01T07:30:21Z,Continue trapping,No fish were caught,"Trap functioning, but not normally",NA,3.09999990463257,3.29999995231628,Yes,NA,2.40000009536743,53.5999984741211,8.9399995803833
10,111,Tisdale Weir RST,RR,2014-12-01T16:00:21Z,2014-12-01T16:00:21Z,Continue trapping,No fish were caught,Trap functioning normally,1663,3.29999995231628,3.40000009536743,Yes,NA,2.59999990463257,54,9.26000022888184
10,112,Tisdale Weir RST,RR,2014-12-02T07:45:21Z,2014-12-02T07:45:21Z,Unplanned restart,No fish were caught,Trap stopped functioning,NA,0,3.29999995231628,Yes,NA,2.65000009536743,52,18.7000007629395
10,113,Tisdale Weir RST,RR,2014-12-02T16:30:21Z,2014-12-02T16:30:21Z,Unplanned restart,No fish were caught,Trap stopped functioning,NA,0,3.20000004768372,Yes,NA,2.90000009536743,55.4000015258789,13.75
10,114,Tisdale Weir RST,RR,2014-12-03T08:15:21Z,2014-12-03T08:15:21Z,Unplanned restart,No fish were caught,Trap stopped functioning,NA,0,3,Yes,NA,2.75,53.5999984741211,19.1000003814697
10,115,Tisdale Weir RST,RR,2014-12-03T15:00:21Z,2014-12-03T15:00:21Z,Unplanned restart,Processed fish,Trap stopped functioning,NA,0,2.79999995231628,Yes,NA,2.65000009536743,53,19.7999992370605
10,116,Tisdale Weir RST,RR,2014-12-04T15:30:21Z,2014-12-04T15:30:21Z,End trapping,Processed fish,Trap functioning normally,1216,3.5,NA,Yes,NA,2.59999990463257,60.7999992370605,21.1499996185303
10,117,Tisdale Weir RST,RR,2014-12-04T08:15:21Z,2014-12-04T08:15:21Z,Continue trapping,Processed fish,Trap functioning normally,2758,2.95000004768372,2.79999995231628,Yes,NA,2.84999990463257,53,21.1499996185303
10,118,Tisdale Weir RST,RR,2014-12-05T16:00:21Z,2014-12-05T16:00:21Z,End trapping,Processed fish,Trap functioning normally,1985,4.59999990463257,NA,Yes,NA,3.04999995231628,52,42.75
10,119,Tisdale Weir RST,RR,2014-12-06T15:00:21Z,2014-12-06T15:00:21Z,End trapping,Processed fish,Trap functioning normally,1066,3.70000004768372,NA,Yes,NA,2.70000004768372,55.4000015258789,329.5
10,120,Tisdale Weir RST,RR,2015-01-26T15:30:21Z,2015-01-26T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1343,2.70000004768372,2.70000004768372,Yes,NA,2.09999990463257,53.5999984741211,28.5499992370605
10,121,Tisdale Weir RST,RR,2015-01-27T07:30:21Z,2015-01-27T07:30:21Z,Continue trapping,Processed fish,Trap functioning normally,2513,2.70000004768372,2.70000004768372,Yes,NA,2,49,17.7999992370605
10,122,Tisdale Weir RST,RR,2015-01-27T16:00:21Z,2015-01-27T16:00:21Z,Continue trapping,No fish were caught,Trap functioning normally,1350,3,2.79999995231628,Yes,NA,2.15000009536743,50,14.3500003814697
10,123,Tisdale Weir RST,RR,2015-01-28T09:30:21Z,2015-01-28T09:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,2841,2.90000009536743,2.90000009536743,Yes,NA,2.29999995231628,49,14.3999996185303
10,124,Tisdale Weir RST,RR,2015-01-28T16:00:21Z,2015-01-28T16:00:21Z,Continue trapping,Processed fish,Trap functioning normally,1146,2.59999990463257,2.79999995231628,Yes,NA,2.15000009536743,51,15.5500001907349
10,125,Tisdale Weir RST,RR,2015-01-29T09:30:21Z,2015-01-29T09:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,2685,2.70000004768372,2.70000004768372,Yes,NA,2,50,16.1000003814697
10,126,Tisdale Weir RST,RR,2015-01-29T15:15:21Z,2015-01-29T15:15:21Z,Continue trapping,No fish were caught,Trap functioning normally,910,2.59999990463257,2.79999995231628,Yes,NA,2.09999990463257,51,13.3999996185303
10,127,Tisdale Weir RST,RR,2015-01-30T07:30:21Z,2015-01-30T07:30:21Z,Continue trapping,Processed fish,Trap functioning normally,2550,2.70000004768372,2.70000004768372,Yes,NA,2.29999995231628,51.7999992370605,12.6999998092651
10,128,Tisdale Weir RST,RR,2015-01-30T15:30:21Z,2015-01-30T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1308,2.79999995231628,2.79999995231628,Yes,NA,2.04999995231628,53.5999984741211,10.25
10,129,Tisdale Weir RST,RR,2015-01-31T07:15:21Z,2015-01-31T07:15:21Z,Continue trapping,Processed fish,Trap functioning normally,2678,2.79999995231628,2.79999995231628,Yes,NA,2.04999995231628,50,10.1000003814697
10,130,Tisdale Weir RST,RR,2015-01-31T15:30:21Z,2015-01-31T15:30:21Z,Continue trapping,No fish were caught,Trap functioning normally,1312,2.90000009536743,2.90000009536743,Yes,NA,2.15000009536743,53.5999984741211,11.3999996185303
